codigo	nome	tipo	area_enfase
IPSA39	PSICOLOGIA DAS RELACOES HUMANAS	Humanidades	
HACA02	ELEMENTOS ACADÊMICOS E PROFISSIONAIS EM CIÊNCIA E TECNOLOGIA	Humanidades	
HACA34	ESTUDOS SOBRE A CONTEMPORANEIDADE II	Humanidades	
HACA01	ESTUDOS SOBRE A CONTEMPORANEIDADE I	Humanidades	
HACA09	CIÊNCIA E TECNOLOGIA I	Humanidades	
HACA38	CIÊNCIA E TECNOLOGIA II	Humanidades	
MAT191	MATEMÁTICA FINANCEIRA	Matemática	
MATA03	CÁLCULO B	Matemática	
MATA04	CÁLCULO C	Matemática	
MATA06	CÁLCULO E	Matemática	
MATA05	Cálculo D	Matemática	
MATB44	ANÁLISE I	Matemática	
MAT198	FUNDAMENTOS DE MATEMÁTICA ELEMENTAR I	Matemática	
MATB32	INTRODUÇÃO À TEORIA DOS NÚMEROS	Matemática	
MATB31	INTRODUÇÃO À ANÁLISE COMBINATÓRIA	Matemática	
MATB35	GRUPOS E ANÉIS I	Matemática	
MATB36	GRUPOS E ANÉIS II	Matemática	
MATB44	ANÁLISE I	Matemática	
MATG05	ANÁLISE II	Matemática	
MATG07	ANÁLISE III	Matemática	
MAT027	ESTATÍSTICA IV	Matemática	
MAT223	PROBABILIDADE I	Matemática	
MATD38	ESTATISTICA BASICA B	Matemática	
MATD39	ANALISE DESCRITIVA E EXPLORATORIA DE DADOS A	Matemática	
MATB59	ESTATISTICA BASICA A	Matemática	
ADM001	INTRODUCÃO À ADMINISTRACAO	Empreendedorismo e Inovação	
ADM170	ADMINISTRACAO CONTABIL I	Empreendedorismo e Inovação	
ADM171	ELEMENTOS E ANALISES DE CUSTOS	Empreendedorismo e Inovação	
ADME99	ECONOMIA DA INOVAÇÃO	Empreendedorismo e Inovação	
ADM173	ADMINISTRAÇÃO MERCADOLOGICA I	Empreendedorismo e Inovação	
ADM241	INTRODUCAO AO MARKETING	Empreendedorismo e Inovação	
MAT115	INTRODUCAO AO PROCESSAMENTO DE DADOS	Livre	
MAT174	CÁLCULO NUMÉRICO I	Matemática	
MATA41	INformatica Na Educação	Livre	
MATA82	SISTEMAS DE TEMPO REAL	Ênfase	Sistemas de Computação
MATA89	ARQUITETURAS DE SISTEMAS DISTRIBUÍDOS	Ênfase	Sistemas de Computação
MATB06	TÓPICOS EM SISTEMAS DISTRIBUÍDOS	Ênfase	Sistemas de Computação
MATB20	INTRODUCAO A INTELIGENCIA ARTIFICIAL	Ênfase	Computação Visual e Sistemas Inteligentes
MATB21	AMBIENTES INTERATIVOS DE APRENDIZAGEM	Livre	
MATB22	LABORATÓRIO DE INFORMÁTICA NA EDUCAÇÃO	Livre	
MATC72	INTERAÇÃO HUMANO COMPUTADOR	Ênfase	Computação Visual e Sistemas Inteligentes
MATC76	PRÁTICA DE ENSINO DE COMPUTAÇÃO I	Livre	
